precision,recall,threshold,f1-score
0.5091680036672015,1.0,0.020028612303290415,0.6747664970764675
0.5092263610315186,1.0,0.020386266094420596,0.6748177399756987
0.5094015134143545,1.0,0.0203862660944206,0.6749715153816938
0.5095767863287074,1.0,0.020530179274148408,0.675125360887403
0.5096352374397798,1.0,0.02074391988555078,0.6751766583086393
0.5096937019616841,1.0,0.020743919885550785,0.6752279635258359
0.5098106712564544,1.0,0.02074391988555079,0.6753305973552213
0.5098691760385586,1.0,0.020838239852037078,0.675381925970966
0.5099276942499713,1.0,0.02110157367668097,0.6754332623897842
0.5100447709792216,1.0,0.021101573676680974,0.6755359586437586
0.5101033295063145,1.0,0.021391927777974155,0.6755873184824754
0.5101619014812263,1.0,0.02145922746781116,0.6756386861313869
0.51027908579304,1.0,0.021459227467811162,0.6757414448669201
